2026-06-27 09:18:31,581 | INFO     | src.crawler | [17/60] depth 1: https://rumbomundo.com/top-10-things-to-see-on-the-iceland-golden-circle-route
2026-06-27 09:18:31,581 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-things-to-see-on-the-iceland-golden-circle-route
2026-06-27 09:18:32,022 | DEBUG    | src.fetcher | Response 200 in 0.44s (125768 bytes, final URL: https://rumbomundo.com/top-10-things-to-see-on-the-iceland-golden-circle-route/)
2026-06-27 09:18:32,039 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:32,040 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:32,052 | INFO     | src.parser | Parsed content: 21129 characters
2026-06-27 09:18:32,063 | DEBUG    | src.parser | Found 107 same-domain link(s)
2026-06-27 09:18:32,568 | INFO     | src.crawler | [18/60] depth 1: https://rumbomundo.com/top-10-places-to-see-in-the-icelandic-interior
2026-06-27 09:18:32,569 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-places-to-see-in-the-icelandic-interior
2026-06-27 09:18:33,001 | DEBUG    | src.fetcher | Response 200 in 0.43s (127407 bytes, final URL: https://rumbomundo.com/top-10-places-to-see-in-the-icelandic-interior/)
2026-06-27 09:18:33,013 | DEBUG    | src.parser | Removed 26 noise tag(s)
2026-06-27 09:18:33,014 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:33,022 | INFO     | src.parser | Parsed content: 23943 characters
2026-06-27 09:18:33,032 | DEBUG    | src.parser | Found 113 same-domain link(s)
2026-06-27 09:18:33,537 | INFO     | src.crawler | [19/60] depth 1: https://rumbomundo.com/all-the-hot-pools-spas-and-swimming-pools-of-iceland-a-complete-guide-with-a-top-10-list
2026-06-27 09:18:33,538 | INFO     | src.fetcher | Requesting https://rumbomundo.com/all-the-hot-pools-spas-and-swimming-pools-of-iceland-a-complete-guide-with-a-top-10-list
2026-06-27 09:18:34,005 | DEBUG    | src.fetcher | Response 200 in 0.47s (124820 bytes, final URL: https://rumbomundo.com/all-the-hot-pools-spas-and-swimming-pools-of-iceland-a-complete-guide-with-a-top-10-list/)
2026-06-27 09:18:34,022 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:34,023 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:34,036 | INFO     | src.parser | Parsed content: 20472 characters
2026-06-27 09:18:34,047 | DEBUG    | src.parser | Found 109 same-domain link(s)
2026-06-27 09:18:34,550 | INFO     | src.crawler | [20/60] depth 1: https://rumbomundo.com/top-10-iceland-beaches
2026-06-27 09:18:34,550 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-iceland-beaches
